timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691058178878,878,generate Token,200,,Thread Group- Token Generation 1-1,text,true,,964,295,4,4,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,824,0,311
1691058179123,835,generate Token,200,,Thread Group- Token Generation 1-2,text,true,,964,295,5,5,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,754,0,266
1691058179756,467,enrich Token,200,,Thread Group- Token Generation 1-1,text,true,,1092,790,6,6,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,389,0,0
1691058179373,931,generate Token,200,,Thread Group- Token Generation 1-3,text,true,,964,295,6,6,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,796,0,185
1691058179958,539,enrich Token,200,,Thread Group- Token Generation 1-2,text,true,,1092,790,7,7,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,486,0,0
1691058180304,621,enrich Token,200,,Thread Group- Token Generation 1-3,text,true,,1092,790,9,9,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,395,0,0
1691058179609,1377,generate Token,200,,Thread Group- Token Generation 1-4,text,true,,964,295,9,9,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,1320,0,474
1691058180225,786,create User,201,,Thread Group- Token Generation 1-1,text,true,,931,1179,9,9,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/users,719,0,0
1691058180498,549,create User,201,,Thread Group- Token Generation 1-2,text,true,,931,1179,10,10,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/users,467,0,0
1691058179841,1210,generate Token,200,,Thread Group- Token Generation 1-5,text,true,,964,295,10,10,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,1122,0,707
1691058180986,368,enrich Token,200,,Thread Group- Token Generation 1-4,text,true,,1092,790,11,11,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,312,0,0
1691058180078,1279,generate Token,200,,Thread Group- Token Generation 1-6,text,true,,964,295,11,11,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,1222,0,531
1691058181052,382,enrich Token,200,,Thread Group- Token Generation 1-5,text,true,,1092,790,11,11,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,285,0,0
1691058180925,710,create User,201,,Thread Group- Token Generation 1-3,text,true,,931,1179,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/users,584,0,0
1691058181048,587,generate Token,200,,Thread Group- Token Generation 1-2,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,468,0,0
1691058180318,1317,generate Token,200,,Thread Group- Token Generation 1-7,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,1179,0,510
1691058181011,629,generate Token,200,,Thread Group- Token Generation 1-1,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,561,0,0
1691058180558,1082,generate Token,200,,Thread Group- Token Generation 1-8,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,967,0,422
1691058180798,842,generate Token,200,,Thread Group- Token Generation 1-9,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,786,0,357
1691058181040,694,generate Token,200,,Thread Group- Token Generation 1-10,text,true,,964,295,12,12,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,647,0,248
1691058181357,442,enrich Token,200,,Thread Group- Token Generation 1-6,text,true,,1092,790,13,13,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,382,0,0
1691058181355,610,create User,201,,Thread Group- Token Generation 1-4,text,true,,931,1179,13,13,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/users,488,0,0
1691058181286,695,generate Token,200,,Thread Group- Token Generation 1-11,text,true,,964,295,13,13,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,570,0,190
1691058181434,569,create User,201,,Thread Group- Token Generation 1-5,text,true,,928,1178,14,14,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/users,501,0,0
1691058181635,373,enrich Token,200,,Thread Group- Token Generation 1-2,text,true,,1092,790,14,14,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,310,0,0
1691058181640,657,enrich Token,200,,Thread Group- Token Generation 1-9,text,true,,1092,790,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,339,0,0
1691058181635,662,enrich Token,200,,Thread Group- Token Generation 1-7,text,true,,1092,790,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,336,0,0
1691058181640,759,enrich Token,200,,Thread Group- Token Generation 1-8,text,true,,1092,790,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,363,0,0
1691058181635,766,generate Token,200,,Thread Group- Token Generation 1-3,text,true,,964,295,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token,368,0,0
1691058181735,666,enrich Token,200,,Thread Group- Token Generation 1-10,text,true,,1092,790,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,316,0,0
1691058181640,764,enrich Token,200,,Thread Group- Token Generation 1-1,text,true,,1092,790,15,15,http://sistemaelettorale.dev.prismalab.eu:8081/api/v1/token?profile-id=00000000011,409,0,0
